"user","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Imagination","ExternalLoC"
58,0,4,0,6,7,1.71428571428571
59,3,5,7,-8,8,4
60,5,6.666666667,7,-8,4,6.28571428571429
61,3,3,0,-2,6,4.57142857142857
62,-5,1,8,-4,7,3.42857142857143
63,-3,1,2,-1,5,4
64,3,-2,2,3,-1,2.85714285714286
65,-2,-1,4,-6.666666667,6,2.85714285714286
66,-7,2,4,5,1,-1.71428571428571
67,1.333333333,5,-1,-2,8,0
68,2,7,1,-2,1,1.14285714285714
69,2,8,6,-7,7,6.85714285714286
70,6,1,7,-4,8,3.42857142857143
71,1,1,-1,-1,5,-0.571428571428571
72,3,4,6,0,7,4
73,2,5,2,-1,4,1.71428571428571
74,7,8,8,-7,8,6.85714285714286
75,-3,7,7,-1.333333333,5,0
76,-1,2,0,1,1,-1.14285714285714
77,-4,6,6,-6,8,2.85714285714286
78,0,0,-1,1,5,2.28571428571429
79,3,2,4,-5,4,4
80,-3,2,1,0,5,-1.14285714285714
81,-7,3,7,4,6,-2.28571428571429
82,-4,1,5,-4,6,3.42857142857143
83,6,4,3,0,7,2.85714285714286
84,-3,2,2,-7,3,6.28571428571429
85,7,8,3,0,6,0
86,0,4,2,-3,6,-1.14285714285714
87,0,5,-3,1,7,0
88,4,6,5,-7,6,7.42857142857143
89,-1,4,-3,-1,5,1.14285714285714
90,-7,4,7,-3,1.333333333,-3.42857142857143
91,4,7,2,2,7,2.85714285714286
92,4,7,3,-2,1,3.42857142857143
93,1,5,4,-3,3,2.28571428571429
94,-1,2,0,2,3,0
95,-3,4,3,-3,5,2.85714285714286
96,-2,2,-3,3,7,-3.42857142857143
97,2,8,6,-8,3,5.14285714285714
98,-4,0,3,0,2,1.71428571428571
99,8,2,-2.666666667,-4,8,2.28571428571429
100,-1,8,5,-4,6,5.14285714285714
101,-4,3,1,-1,5,2.85714285714286
102,3,6,7,-7,7,5.14285714285714
103,0,3,4,-1,3,0.571428571428571
104,-8,6,-2,5,6,-5.71428571428571
105,-6,5,-1,-1,3,0.571428571428571
106,-3,4,6,-2,3,4.57142857142857
107,2,3,2,-5,7,2.28571428571429
108,-1,3,2,-1,3,0.571428571428571
109,0,5,-3,3,3,-1.14285714285714
110,-1,0,4,-6,4,4
111,-8,5,6,-4,8,0.571428571428571
112,-1,7,1,-7,8,6.85714285714286
113,-3,4,4,-3,1,2.28571428571429
114,-6,2,4,-2,7,3.42857142857143
115,1,4,7,-5,8,4.57142857142857
116,-8,-5,-5,0,1,-1.14285714285714
117,-1,3,1,2,8,-1.14285714285714
118,-8,2,3,1,-1,-2.85714285714286
119,-3,5,2,-3,3,2.28571428571429
120,1,7,5,-4,6,4
121,-2,5,-1,5,5,-3.42857142857143
122,-2,0,-2,-6,7,3.42857142857143
123,-7,-3,7,-8,7,6.28571428571429
124,-5,1,-3,-2,1,0.571428571428571
125,-2,7,-2,-4,7,-0.571428571428571
126,-4,8,8,-5,6,3.42857142857143
127,3,6,5,-5,1,4
128,-2,3,3,-5,3,3.42857142857143
129,1,3,-1,-1,5,-0.571428571428571
130,0,8,6,6,7,2.28571428571429
131,2,2,0,2,4,-2.28571428571429
132,-3,5,1,-1,7,4
133,-2,8,1,2,6,0
134,3,5,5,4,2,4
135,-3,4,3,1,1,0.571428571428571
136,3,6,3,-5,6,2.28571428571429
137,-3,3,1,-6,3,4.57142857142857
138,8,7,-3,-5,8,4.57142857142857
139,-1,0,-1,1,3,0
140,5,4,2,0,0,-1.71428571428571
141,3,7,2,-3,7,-0.571428571428571
142,-8,4,1,5,4,-2.28571428571429
143,0,4,7,-6,4,5.71428571428571
144,-5,3,3,2,3,1.71428571428571
145,-3,1,2,-2,0,2.28571428571429
146,-5,3,0,1,-2,-2.28571428571429
147,-2,5,1,-6,6,2.28571428571429
148,-2,4,3,-1,7,0
149,-1,4,2,1.333333333,0,-1.14285714285714
150,0,-2,-1,2,5,0
151,3,5,2,0,4,0
152,-5,4,1,6,5,0
153,-2,5,1,-4,3,7.42857142857143
154,-2,5,5,-5,2,4
155,-1,4,5,-6,8,2.85714285714286
156,-1,5,1,0,5,-0.571428571428571
157,-4,2,1,0,1,0
158,-3,2,-1,5,6,-1.71428571428571
